"Id","Existencia_de_irmãos","Experiência_conjugal","Sexo","IdadeIndiv","Horas_Trabalho_Semana","Tamanho_do_Agregado","Nivel_de_Escolaridade","resp"
526,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
527,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
530,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
537,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
547,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
548,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
554,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
578,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
595,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",49,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
596,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
602,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
615,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
623,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,NA,1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
624,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",48,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
626,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
630,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
631,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",48,"16-35",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
634,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
639,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
656,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
663,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
678,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,NA,1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
687,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
698,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
708,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
724,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",48,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
725,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
757,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
765,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
774,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
791,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
792,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
815,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
835,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
836,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
837,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
845,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",48,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
846,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",48,"<16",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
847,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
852,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",48,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
853,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",48,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
860,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
880,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",47,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
881,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",47,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
888,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
892,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
900,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,2,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
912,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
916,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",47,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
929,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
933,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
