id;sexo;idade;instrucao;modalidade
271;Feminino;49;Secundário;Caminhada
272;Masculino;40;Secundário;Caminhada
273;Masculino;41;Secundário;Caminhada
274;Masculino;31;Secundário;Caminhada
275;Masculino;35;Secundário;Caminhada
276;Feminino;27;Superior;Fitness
277;Feminino;37;Superior;Fitness
278;Feminino;42;Superior;Fitness
279;Feminino;44;Superior;Fitness
280;Masculino;51;Superior;Outra
281;Masculino;35;Superior;Outra
282;Feminino;43;Superior;Outra
283;Masculino;35;Superior;Outra
284;Feminino;34;Superior;Outra
285;Feminino;32;Superior;Outra
286;Masculino;37;Superior;Outra
287;Masculino;30;Superior;Outra
288;Masculino;52;Superior;BTT/Ciclismo
289;Feminino;48;Superior;Fitness
290;Feminino;56;Superior;Fitness
291;Masculino;39;Superior;Fitness
292;Feminino;33;Superior;Caminhada
293;Feminino;30;Superior;Caminhada
294;Feminino;37;Superior;Caminhada
295;Feminino;39;Superior;BTT/Ciclismo
296;Feminino;54;Superior;Fitness
297;Masculino;36;Superior;Outra
298;Feminino;46;Superior;Fitness
299;Masculino;47;Superior;BTT/Ciclismo
300;Feminino;55;Superior;Outra
301;Feminino;42;Superior;Outra
302;Masculino;25;Superior;Outra
303;Feminino;35;Superior;Fitness
304;Feminino;39;Superior;Fitness
305;Feminino;30;Superior;BTT/Ciclismo
306;Feminino;32;Superior;Fitness
307;Feminino;34;Superior;Outra
308;Feminino;32;Superior;BTT/Ciclismo
309;Feminino;34;Superior;Fitness
310;Masculino;56;Superior;BTT/Ciclismo
311;Masculino;41;Superior;Outra
312;Feminino;34;Superior;BTT/Ciclismo
313;Masculino;61;Superior;Outra
314;Masculino;51;Superior;BTT/Ciclismo
315;Masculino;44;Superior;BTT/Ciclismo
316;Feminino;34;Superior;Caminhada
317;Feminino;54;Superior;Caminhada
318;Feminino;40;Superior;Caminhada
319;Feminino;54;Superior;Caminhada
320;Masculino;64;Superior;Caminhada
321;Feminino;34;Superior;Caminhada
322;Feminino;36;Superior;Caminhada
323;Masculino;28;Superior;Caminhada
324;Feminino;28;Superior;Caminhada
325;Feminino;47;Superior;Caminhada
326;Feminino;47;Superior;Caminhada
327;Feminino;48;Superior;Caminhada
328;Masculino;51;Superior;Caminhada
329;Feminino;47;Superior;Caminhada
330;Feminino;39;Superior;Caminhada
331;Masculino;60;1.º ciclo ou inferior;BTT/Ciclismo
332;Feminino;63;1.º ciclo ou inferior;Caminhada
333;Masculino;62;1.º ciclo ou inferior;Caminhada
334;Masculino;39;2.º ciclo;Outra
335;Feminino;48;3.º ciclo;Fitness
336;Masculino;58;3.º ciclo;Caminhada
337;Masculino;30;3.º ciclo;Outra
338;Masculino;40;3.º ciclo;Fitness
339;Masculino;45;3.º ciclo;BTT/Ciclismo
340;Feminino;62;3.º ciclo;BTT/Ciclismo
341;Masculino;47;3.º ciclo;Outra
342;Masculino;50;3.º ciclo;Caminhada
343;Feminino;59;3.º ciclo;Caminhada
344;Masculino;28;Secundário;Outra
345;Feminino;30;Secundário;BTT/Ciclismo
346;Masculino;51;Secundário;Outra
347;Feminino;38;Secundário;Outra
348;Feminino;40;Secundário;Outra
349;Masculino;27;Secundário;Outra
350;Feminino;54;Secundário;BTT/Ciclismo
351;Masculino;46;Secundário;Outra
352;Masculino;42;Secundário;BTT/Ciclismo
353;Masculino;70;Superior;Outra
354;Feminino;26;Superior;Outra
355;Feminino;23;Superior;Fitness
356;Masculino;31;Superior;Outra
357;Masculino;42;Superior;Caminhada
358;Feminino;55;Superior;Outra
359;Feminino;39;Superior;Fitness
360;Feminino;31;Superior;Fitness
361;Feminino;33;Superior;Fitness
362;Feminino;30;Superior;Outra
363;Masculino;38;Superior;Outra
